The Guardian,8125195,
FIFA World Cup,7601054,
Sky Sports News,6925543,
L'ÉQUIPE,5091461,
Sky Sports Premier League,4380376,
Gary Neville,4247469,
USA TODAY,3918147,
The Indian Express,3235244,
Le Figaro,3125954,
The Independent,2926904,
Inc.,2749984,
Daily Mail Online,2421229,
Milton Neves,1997205,
Kerala Blasters FC,1835414,
Daily Nation,1801601,
