futtth,"RT @Bro_olla: This is me. 
I’m sorry but you’re not my type. https://t.co/Qfic0pma1T",126130
nangilima123,RT @BTS_twt: thank you 💕 https://t.co/ESmo67cUek,111737
thdgml33,RT @BTS_twt: thank you 💕 https://t.co/ESmo67cUek,111736
RM_hope2BTS,RT @BTS_twt: thank you 💕 https://t.co/ESmo67cUek,111735
jadeshoseok,RT @BTS_twt: thank you 💕 https://t.co/ESmo67cUek,111731
ga_hza,RT @OFFICIALJON1: Daniel Caesar did that while causally sippin tea. It’s confirmed he is the GOAT! https://t.co/1PeBb0G4xv,103339
mayrasons4,RT @_SJPeace_: An Oregon high school football coach was able to disarm a student with a shotgun preventing a possible massacre by talking h…,96528
ambjaneth,RT @_SJPeace_: An Oregon high school football coach was able to disarm a student with a shotgun preventing a possible massacre by talking h…,96522
thenachosupreme,"RT @joeygllghr: Zodiac signs as my understanding of zodiac signs

Aquarium - wet

Pieces - two fish?

Air - good 

Taurus - 0% APR for 72 m…",83353
bitrusjnr,"RT @paulpogba: My ancestors and my parents suffered for my generation to be free today, to work, to take the bus, to play football. Racist…",81362
Most_Wantedd_,"RT @paulpogba: My ancestors and my parents suffered for my generation to be free today, to work, to take the bus, to play football. Racist…",81361
ModibboSanusi,"RT @paulpogba: My ancestors and my parents suffered for my generation to be free today, to work, to take the bus, to play football. Racist…",81357
charismatic_mb,"RT @paulpogba: My ancestors and my parents suffered for my generation to be free today, to work, to take the bus, to play football. Racist…",81356
DoctorStrangev,RT @Cristiano: 🏆🏆🏆🏆🏆 https://t.co/5MhvvArz1b,68731
7icko,RT @Cristiano: 🏆🏆🏆🏆🏆 https://t.co/5MhvvArz1b,68730
7icko,RT @Cristiano: Thanks for the warm welcome. Always feel at home here. https://t.co/Tr5gny5Z5A,67697
EXTENDOSLUMP,"RT @youngthug: They say u r what u eat..(That's funny)
I don't remember eating a goat!!",64022
TinotendaMachi6,"RT @Shadaya_Knight: If this was CR7 or Messi's son a lot of us would have him on our TLs, let's celebrate our own future Drogbas, Etoo's, O…",56709
isamhoffmann,"RT @tubarao13051976: Se puderem divulgar este vídeo seria bom, para que chegue às mãos das autoridades competentes e estas possam ser mais…",52330
isamhoffmann,"RT @tubarao13051976: Se puderem divulgar este vídeo seria bom, para que chegue às mãos das autoridades competentes e estas possam ser mais…",52330
